Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
0fb5b08611c2b3498c7a1986d693d130e5fe7c7f,1,1,1,0,2,8,229,1,2,105791,1,464,2.19E-05,0,0
79aa626c6c29a049da646d9b30f12acc089744f0,1,1,1,0,3,4,218,1,2,30110,1,463,2.19E-05,0,0
5fb0ecc182df904f3de5f84e76ee840728ccb939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd6d27c35caab264357c277064f307460f11113e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3cc644063f2f8eb4867a5d1724125eeae864075c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9e11c161077db096786de3abdd6ff8fbe2e1767,1,1,1,0,271,106,12265,0,3,28052,1,45,2.42E-05,0,0
9601c31b9d561d1badfa335c8920dc3b213e6667,1,1,1,0,40,4,193,1,2,95667,1,39,2.62E-05,0,0
d7850caa19e3ff643950fe3babfd0681f4036bf8,1,1,1,0,1,1,193,1,1,9862,1,460,2.24E-05,0,1
52a60ba51eb9bd5155ed328b195c5e1f40414e1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05f4ed360dd69a9a426cbc156c34ecc63ce2232f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810816a7393a9549a3f10712a2f0ac6e34022ffa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7491bc530937b79cd6b76493b3be4413ba61ab66,1,1,1,0,18,8,181,0,2,153402,1,457,1.97E-05,0,1
5be1f7745bc39d23ac204ff432702bbe958f1dd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b01ccaecf727bddb53587728e6bf9f4bdf998576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b74b36116fd72d41662354d5f45a2a039eeeef1,1,1,2,0.019262838,12295,9038,9189,0,3,235368.5,2,44,1.89E-05,0,1
258d9c75beecff34f91958a370f4a16d30c6031c,1,1,2,0.863120569,4,3,376,1,3,83513.5,2,37,1.79E-05,0,1
d9c16b071e249a9e853e558fbcef150a3dd78002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739a7bedf95e6f5c06626ec03508dba78f3dce07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c3acb79de30de7c208cf9541f816de115bdb648,1,1,1,0,2,2,153,0,1,1302,1,455,1.63E-05,0,0
d33d64ca805ada28fbe5a1ee03ed27f6f7e5f8c3,1,1,1,0,4,0,390,0,0,0,0,454,1.62E-05,0,0
